country,total_papers,total_citations,topic,name
"",1,0,8891405,Immune system
"",1,3,11413529,Algorithm
"",1,0,12554922,Biophysics
"",1,1,18903297,Ecology
"",1,0,30481170,Chromosome
"",2,4,41091548,Epigenetics
"",16,35,54355233,Genetics
"",1,0,55493867,Biochemistry
"",1,0,59822182,Botany
"",6,3,60644358,Bioinformatics
"",1,0,67705224,RNA
"",3,4,70721500,Computational biology
"",4,15,78458016,Evolutionary biology
"",2,4,83640560,Chromatin
"",23,48,86803240,Biology
"",1,0,90132467,Phylogenetics
"",1,8,95444343,Cell biology
"",1,0,98108389,CRISPR
"",5,10,104317684,Gene
"",1,0,121608353,Cancer
"",1,0,127716648,Phenotype
"",8,11,141231307,Genome
"",1,0,143065580,Mutant
"",2,8,150194340,Gene expression
"",2,10,153911025,Molecular biology
"",1,3,154945302,Artificial intelligence
"",2,8,162317418,Transcriptome
"",2,4,165864922,Regulation of gene expression
"",1,0,185592680,Chemistry
"",1,6,189206191,Genomics
"",2,15,193252679,Phylogenetic tree
"",1,0,203014093,Immunology
"",1,0,502942594,Cancer research
"",2,0,523546767,Bacteria
"",2,8,1491633281,Cell
"",2,0,2776878037,Zebrafish
Albania,1,0,7466232,Biomarker (medicine)
Albania,1,1,41091548,Epigenetics
Albania,2,5,54355233,Genetics
Albania,3,0,60644358,Bioinformatics
Albania,1,1,83640560,Chromatin
Albania,5,5,86803240,Biology
Albania,1,0,95444343,Cell biology
Albania,1,4,135763542,Genotype
Albania,1,1,190727270,DNA methylation
Albania,1,0,203014093,Immunology
Albania,1,1,502942594,Cancer research
Albania,1,0,2522874641,Virus
Albania,1,4,2776460866,Pathogen
Albania,1,4,2908647359,Population
Algeria,1,0,24998067,Stimulation
Algeria,1,0,26760741,Perception
Algeria,3,1,54355233,Genetics
Algeria,1,1,70721500,Computational biology
Algeria,1,1,84597430,Locus (genetics)
Algeria,3,1,86803240,Biology
Algeria,1,0,105795698,Statistics
Algeria,1,0,169760540,Neuroscience
Algeria,1,0,169900460,Cognition
Algeria,2,1,2908647359,Population
Antigua and Barbuda,2,5,24432333,Whole genome sequencing
Antigua and Barbuda,2,51,41091548,Epigenetics
Antigua and Barbuda,3,7,54355233,Genetics
Antigua and Barbuda,3,6,60644358,Bioinformatics
Antigua and Barbuda,1,45,70721500,Computational biology
Antigua and Barbuda,2,50,71924100,Medicine
Antigua and Barbuda,5,7,86803240,Biology
Antigua and Barbuda,1,45,121608353,Cancer
Antigua and Barbuda,1,5,141231307,Genome
Antigua and Barbuda,1,5,159047783,Virology
Antigua and Barbuda,2,51,190727270,DNA methylation
Antigua and Barbuda,1,45,203014093,Immunology
Antigua and Barbuda,2,51,2779134260,Disease
Antigua and Barbuda,4,11,2908647359,Population
Argentina,1,6,7466232,Biomarker (medicine)
Argentina,4,5,8891405,Immune system
Argentina,6,1,12554922,Biophysics
Argentina,2,4,15151743,Metagenomics
Argentina,5,31,15744967,Psychology
Argentina,14,61,18903297,Ecology
Argentina,3,33,24432333,Whole genome sequencing
Argentina,3,0,24998067,Stimulation
Argentina,5,28,26760741,Perception
Argentina,6,25,28328180,Stem cell
Argentina,1,0,29537977,Cell cycle
Argentina,1,4,30481170,Chromosome
Argentina,5,0,34601148,Transcription (biology)
Argentina,5,26,41008148,Computer science
Argentina,4,13,41091548,Epigenetics
Argentina,1,0,50644808,Artificial neural network
Argentina,2,12,51679486,DNA sequencing
Argentina,129,929,54355233,Genetics
Argentina,8,16,55493867,Biochemistry
Argentina,3,2,59822182,Botany
Argentina,47,43,60644358,Bioinformatics
Argentina,6,129,62478195,Signal transduction
Argentina,1,31,68873052,Genetic variation
Argentina,12,42,70721500,Computational biology
Argentina,2,6,71924100,Medicine
Argentina,2,7,73555534,Cluster analysis
Argentina,16,707,78458016,Evolutionary biology
Argentina,5,60,79879829,Intracellular
Argentina,5,19,83640560,Chromatin
Argentina,1,4,84597430,Locus (genetics)
Argentina,6,6,86339819,Transcription factor
Argentina,201,1234,86803240,Biology
Argentina,4,2,89423630,Microbiology
Argentina,2,0,90132467,Phylogenetics
Argentina,2,37,90856448,Zoology
Argentina,4,5,94487597,Sensory system
Argentina,42,124,95444343,Cell biology
Argentina,3,104,98108389,CRISPR
Argentina,35,113,104317684,Gene
Argentina,3,6,105580179,Messenger RNA
Argentina,2,0,105702510,Anatomy
Argentina,1,0,106208931,Genome-wide association study
Argentina,1,5,111936080,Enhancer
Argentina,1,0,119857082,Machine learning
Argentina,3,4,121608353,Cancer
Argentina,3,21,124101348,Data mining
Argentina,3,6,126322002,Internal medicine
Argentina,4,46,127716648,Phenotype
Argentina,2,6,134018914,Endocrinology
