name,id,level,parents,children
Regulation of gene expression,165864922,4,150194340,2909274368|190796033|114009990|178809742|58793620|2992992924|2910693022|39981086|139259183|107801524|163002167|93946551|106285112|2778173624|165876800|2909078981|2778760011|2908917965|2779769042|2777181808|2910031858|14316530|106552056
Kidney,2780091579,3,555293320,2778176769|39587587|2775908106|19732747|85380620|2909713293|2781231759|2776266639|2780303639|2994352664|2780472472|2780145431|2779561371|2910770075|2776664737|2992666275|2778653478|161457703|133397671|56906281|126189478|2781184683|2780227381|2777632694|2781087799|2779403450|2780222010|2909266878|2776634560|2779547328|2777464133|2781393221|2778577996|189613389|2778534349|123584848|2910145492|2781092957|2779774813|5426402|2780368995|2780498532|31697123|2779922275|2909085309
Cell growth,62112901,3,1491633281,2910019968|2777570947|64979461|172512520|2993006347|2583947|2909009422|34688535|2910615831|2780783641|2991772446|2994080671|2778260397|2909391407|2993798064|2909727157|2779933373|2994305598|2778402369|2909841090|2910938049|2776085573|2909772111|2991968602|2777735388|2908530140|2908935909|2988930278|2909546088|2910644715|2910243951|2908823279|2909523446|182547069
Electroencephalography,522805319,2,138496976|42219234|169760540,163507328|2988016515|2780275334|2987707911|2778998792|2781097354|2993580302|20566671|2779320081|2909415960|2991949816|120843803|2993836445|129692064|2781082017|2983824930|2993361313|2992016294|2909061289|2994356521|2993813294|556910895|2910819888|2909976113|2991732606|2989017651|2910364982|2993759415|2986734006|2994371000|2434490|2992675136|2994249155|2779213384|110539466|2910502477|2780893006|2992172239|2991917005|2909645261|173201364|2986106453|2986798296|2910889960|2985797611|2988213740|2993713132|2781354480|2992064113|2993968499|2992287477|2992570999|2910144760|2908726137|2982822269|2992429438
Computational complexity theory,179799912,2,11413529|80444323|126255220,127964446
Geology,127313418,0,,159390177|49204034|1965285|78762247|13280743|151730666|187320778|91586092|37037264|17409809|199289684|114793014|165205528|111368507|62649853
Nervous system,545706735,2,169760540|105702510|142724271,2993059035|93241661|2994574143
Demography,149923435,1,144024400,68220480|2776832483|2994402372|139134214|138040679|2909634760|2777101753|2910304716|2993912812|2994058899|110888244|2780176501|2781081971|2908533367|2993173721|2779442300
Actin,125705527,3,1491633281,120691718|2910099337|2994526476|204462481|2910709779|2908705559|2910930840|2909592603|2775995422|2910908830|2776350113|2781470882|141073059|80722340|2777257469|50244902|2781467687|2778021804|205875245|2993400109|2911199023|2909201330|2779732020|2780674356|2781099445|2779295799|174054327|2777359163|2781026238|2776861759|133702464|53195969|8035138|2992795585|20563397|189040839|2780040266|199528912|72158551|90301020|2909908446|2776608609|2781122658|2779560292|2992973925|2778934503|151460084|2776041460|2776000893|38676607
Haplotype,197754878,4,180754005|135763542,2993731205|177580304|2994396818|2777505683|2779709589|2779701145|2778160924|55060382|2910653347|2776607785|44432683|20366510|2991815092|2910159415|2776885448|2776826826|35605836|2778050382|26589402|178221405|2992677346|2984889316|201526758|19811304|195054827|49735019|2993467502|2989234290|2992264569|78450430
Optics,120665830,1,121332964,125245961|91881484|200687136|204223013|176666156|194232370|111337013|16332341|165838908|205372480|120418882|60799052|187590223|163517525|92630104|71039073|43571822|751236|108597893|83581075|133386390|166689943|2779328170|75302062|207114421|13274807|153385146|85080765|76935873|94915269|102519508|194257627|149773537|6260449|44886760|103716073|168110828|147080431|84174578|147788027|72293138|129404179|104663316|108225325|42067758|181500209|44838205|20788544|191486275|2987742019|77017923|148869448|160633673|107406667|91524940|160671074|177562468|23125352|70477161|7910260|144743798|74902906|100921725|205507967|55020928|28843909|159317903|169822122|158355884|188954035|184652730|56318395|87456703|169260993|40003534|180205008|19619285|97126364|520434653|168834538|78434282|33390570|198809072|68271606|51399673
Legislation,2777351106,2,199539241|3116431,""
Health promotion,185618831,3,160735492|138816342,193395930|147268084|1602351
Herpesviridae,2776409557,4,2780727368,2780797929|2909819210|2781295983|2909616368|2908566162|2779820661|2779362421|2777399126|2910687992|2777450202|2776660894
Fungal protein,2910135453,4,501734568|167625842|143065580|2777576037,2910463301|2911035176|2777304648|2909297711|2910407793|2777391609|2910682364|155656381
Smooth muscle,2992686903,3,555293320,2781122658|2992407208|2779395532|2779411790|2776919887|201539569|2991955190|2911106201|2777359163|2780616540
Cognitive neuroscience of visual object recognition,64876066,2,119857082|31972630|178980831,2992903146|2993628070
Arsenic,502230775,2,179104552|191897082|107872376,2909445952|2779495234|2776305511|2779327051|132165134|2777764464
Mollusca,2776249982,2,90856448|18903297|151730666,2910866885|2779225002|2777130286|2778178740|2780252984|2778759514|2779586492
Noise reduction,163294075,2,24890656|11413529|31972630,""
Palladium,502130503,3,161790260,""
Business intelligence,2767350,2,38652104|124101348|56739046,""
Current density,207740977,2,179104552|42360764|115704247,""
Band-pass filter,147788027,2,24326235|119599485|120665830,2986353304|46416853
Copolymer,15920480,3,521977710,2781111393|2781206178|2781042915|2780801859|2779402116|2778004933|111998727|2780959689|187404810|188109995|121120078|2781460079|51115888|2777231892|101335993|207374878
Trajectory,13662910,2,65244806|44154836|62520636,2989363275|2988947023|2988767229|2987463411|173246807|2983300093|2988528222
Crop yield,126343540,3,137580998,2777106113|2992184722|2778361644
RNA splicing,54458228,3,104317684,2910422081|2776514529|2780441661|2775954774|2991743866|2777649245
Social work,16920402,2,159110408|77805123|39549134,205359131|140311038
Bioenergy,156380964,4,53991642,2780323115|2779012619
Human rights,169437150,2,3116431|199539241|190253527,""
Geomorphology,114793014,1,127313418,15739521|106804226|2780978308|42787717|180851071|185734153|2816523|160464908|107832698|16828302|100834320|29941650|2993762326|103913367|173776410|84859931|135310875|177882397|167110946|12294951|13106087|2777040169|74126248|91442348|2780049196|2780191791|182348080|2778697265|161509811|146588470|185515318|40724407|123157820|108497213|181843262|172578880|120806208|155681218|77928131|65340099|53570757|196715460|126645576|150322381|4988496|87432785|77271252|83877588|154108245|123750103|137527640|205325660|2778849375|186295008|109007969|161222754|179537507|100134115|2993786211|15098985|178820457|169212394|197046000|129065203|2993524212|74501621|55555194|149347711
Waveform,197424946,2,24890656|24326235|119599485,69607680|2983123470
Amplitude,180205008,2,62520636|120665830,2910291616|2993925527|2993013858|2984320578|20518276|2988680186|2992016294|94727143|2988187562|2992035756|2988213740|2776837582|201905106|2982836819|2777019251|2994146423|137798554|2984686142
System identification,119247159,2,133731056|11413529|65244806,2988220648|2994324247
Hepatitis,2776029263,3,555293320,2781096931|2777072776|2994395758|2775876817|2780777367|2777203481
